flight_id,dept_aprt,dept_date_utc,dept_time_utc,arr_aprt,arr_date_utc,arr_time_utc,icao,acft_type,point_time,lat,lng,alt,ground,hash
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,02:34:46,42.21666,-72.68333,300,456,2014040129604827,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,02:35:50,42.16666,-72.85,319,444,2014040129604828,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,02:36:53,42.13333,-73.0,320,439,2014040129604829,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,02:37:55,42.1,-73.16666,320,439,2014040129604830,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,04:11:33,38.46666,-85.75,47,249,2014040129604827,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,04:12:31,38.4,-85.78333,40,237,2014040129604828,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,04:13:30,38.35,-85.78333,35,222,2014040129604829,
20140401296048,BOS ,20140401,02:22:00,SDF ,20140401,04:17:34,UPS1013 ,A306  ,04:14:42,38.3,-85.76666,27,183,2014040129604830,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,01:49:10,42.68333,-73.48333,360,432,2014040129793759,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,01:50:13,42.63333,-73.63333,360,433,2014040129793760,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,01:51:16,42.58333,-73.78333,360,432,2014040129793761,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,01:52:19,42.53333,-73.91666,360,432,2014040129793762,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,03:23:46,38.48333,-85.65,60,240,2014040129793759,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,03:24:45,38.46666,-85.73333,60,223,2014040129793760,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,03:25:37,38.46666,-85.8,50,208,2014040129793761,
20140401297937,MHT ,20140401,01:33:00,SDF ,20140401,03:32:17,UPS1057 ,B763  ,03:26:42,38.4,-85.81666,40,207,2014040129793762,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,02:03:27,41.7,-73.63333,246,424,2014040130431801,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,02:04:25,41.56666,-73.7,270,453,2014040130431802,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,02:05:24,41.43333,-73.75,296,475,2014040130431803,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,02:06:22,41.31666,-73.85,325,493,2014040130431804,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,03:39:03,38.25,-85.65,52,276,2014040130431801,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,03:40:21,38.33333,-85.66666,40,276,2014040130431802,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,03:41:19,38.38333,-85.71666,34,255,2014040130431803,
20140401304318,BDL ,20140401,01:54:00,SDF ,20140401,03:46:30,UPS1063 ,B763  ,03:42:12,38.35,-85.75,30,160,2014040130431804,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:41:07,38.03333,-85.46666,77,273,2014040128046843,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:42:06,38.08333,-85.55,69,270,2014040128046844,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:43:04,38.13333,-85.6,63,270,2014040128046845,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:44:03,38.21666,-85.63333,55,270,2014040128046846,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:46:19,38.35,-85.68333,43,244,2014040128046848,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:47:12,38.4,-85.73333,40,204,2014040128046849,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:48:16,38.38333,-85.78333,40,207,2014040128046850,
20140401280468,EWR ,20140401,03:20:00,SDF ,20140401,04:52:04,UPS1081 ,B763  ,04:49:15,38.33333,-85.78333,35,171,2014040128046851,
20140401297224,EWR ,20140401,02:46:00,SDF ,20140401,04:25:00,UPS1083 ,MD11  ,04:18:03,38.31666,-85.66666,46,246,2014040129722432,
