,flight_id,cluster
0,20141002212006,1
1,20141002212336,1
2,20141002218495,1
3,20141002218665,2
4,20141002221052,1
5,20141002222561,2
6,20141002223148,1
7,20141002224523,1
8,20141002224555,1
9,20141002228361,1
10,20141002234499,1
11,20141002236522,1
12,20141002238667,1
13,20141002238740,1
14,20141002240252,2
15,20141002242234,1
16,20141002250130,1
17,20141002257455,2
18,20141002259380,1
19,20141002260943,2
20,20141002264527,2
21,20141002267962,1
22,20141002268753,1
23,20141002270433,2
24,20141002271004,1
25,20141002272994,1
26,20141002275812,1
27,20141002280171,1
28,20141002287456,1
29,20141002287756,1
30,20141002288252,1
31,20141002291769,1
32,20141002294371,1
33,20141002294525,1
34,20141002295060,1
35,20141002296069,2
36,20141002296233,2
37,20141002296984,2
38,20141002298597,2
